Potassium dichromate,K2Cr2O7,K,2,Cr,2,O,7
Potassium Thiocyanate,KSCN,K,1,S,1,C,1,N,1
Barium sulfate,BaSO4,Ba,1,S,1,O,4
Potassium fluoride,KF,K,1,F,1
Sucrose,C12H22O11,C,12,H,22,O,11
Aluminum,Al,Al,1
Sodium chloride,NaCl,Na,1,Cl,1
Potassium nitrate,KNO3,K,1,N,1,O,3
Sodium iodide,NaI,Na,1,I,1
Nickel acetate,C4H6O4Ni,C,4,H,6,O,4,Ni,1
Copper (II) chloride,CuCl2,Cu,1,Cl,2
Chromic acid,H2CrO4,H,2,Cr,1,O,4
Butanoic acid,C4H8O2,C,4,H,8,O,2
Toluene,C7H8,C,7,H,8
Butane,C4H10,C,4,H,10
Lithium oxide,Li2O,Li,2,O,1
Ethylene glycol,C2H6O2,C,2,H,6,O,2
Calcium Chloride,CaCl2,Ca,1,Cl,2
Glycerin,C3H8O3,C,3,H,8,O,3
Iodine,I2,I,2
Helium,He,He,1
Sodium nitrite,NaNO2,Na,1,N,1,O,2
Lead (IV) oxide,PbO2,Pb,1,O,2
Acetic acid,CH3COOH,C,1,H,3,C,1,O,1,O,1,H,1
Dimethyl sulfoxide,C2H6OS,C,2,H,6,O,1,S,1
Tannic acid,C76H52O46,C,76,H,52,O,46
Resorcinol,C6H6O2,C,6,H,6,O,2
Sodium bicarbonate,NaHCO3,Na,1,H,1,C,1,O,3
Sodium citrate,Na3C6H5O7,Na,3,C,6,H,5,O,7
Chlorine,Cl2,Cl,2
Maltose,C12H22O11,C,12,H,22,O,11
Urea,CH4N2O,C,1,H,4,N,2,O,1
Potassium chlorate,KClO3,K,1,Cl,1,O,3
Sodium hydroxide,NaOH,Na,1,O,1,H,1
Acetaldehyde,C2H4O,C,2,H,4,O,1
Sodium hypochlorite,NaClO,Na,1,Cl,1,O,1
Phosphorus Triiodide,PI3,P,1,I,3
Ethanol,C2H5OH,C,2,H,5,O,1,H,1
Sulfurous acid,H2SO3,H,2,S,1,O,3
Sodium carbonate,Na2CO3,Na,2,C,1,O,3
Potassium cyanide,KCN,K,1,C,1,N,1
Manganese dioxide,MnO2,Mn,1,O,2
Nitric acid,HNO3,H,1,N,1,O,3
Monopotassium phosphate,KH2PO4,K,1,H,2,P,1,O,4
Dichromate,K2Cr2O7,K,2,Cr,2,O,7
Potassium bicarbonate,KHCO3,K,1,H,1,C,1,O,3
Ammonium nitrite,NH4NO2,N,1,H,4,N,1,O,2
Magnesium sulfide,MgS,Mg,1,S,1
Hydrocyanic acid,HCN,H,1,C,1,N,1
Urethane,C3H7NO2,C,3,H,7,N,1,O,2
Eugenol,C10H12O2,C,10,H,12,O,2
Carbonic acid,H2CO3,H,2,C,1,O,3
Oxygen,O2,O,2
Water,H2O,H,2,O,1
Sodium bromide,NaBr,Na,1,Br,1
Zinc carbonate,ZnCO3,Zn,1,C,1,O,3
Monosodium Glutamate,C5H8NO4Na,C,5,H,8,N,1,O,4,Na,1
Calcium iodide,CaI2,Ca,1,I,2
Hydroiodic acid,HI,H,1,I,1
Boric acid,H3BO3,H,3,B,1,O,3
Sodium sulfite,Na2SO3,Na,2,S,1,O,3
Acetone,C3H6O,C,3,H,6,O,1
Fluorine,F,F,1
Hydroquinone,C6H6O2,C,6,H,6,O,2
Salicylic Acid,C7H6O3,C,7,H,6,O,3
Acetylene,C2H2,C,2,H,2
Sodium dichromate,Na2Cr2O7,Na,2,Cr,2,O,7
Dichloromethane,CH2Cl2,C,1,H,2,Cl,2
Lead iodide,PbI2,Pb,1,I,2
Fructose,C6H12O6,C,6,H,12,O,6
Lithium phosphate,Li3PO4,Li,3,P,1,O,4
Sodium oxide,Na2O,Na,2,O,1
Phosphorus pentachloride,PCl5,P,1,Cl,5
Sodium cyanide,NaCN,Na,1,C,1,N,1
Glycerol,C3H8O3,C,3,H,8,O,3
Lithium bromide,LiBr,Li,1,Br,1
Sulfuric acid,H2SO4,H,2,S,1,O,4
Phenyl,C6H5,C,6,H,5
Sulfur dioxide,SO2,S,1,O,2
Phosphoric acid,H3PO4,H,3,P,1,O,4
Hydrogen peroxide,H2O2,H,2,O,2
Trichloroacetic acid,C2HCl3O2,C,2,H,1,Cl,3,O,2
Potassium chloride,KCl,K,1,Cl,1
Ammonium hydroxide,NH4OH,N,1,H,4,O,1,H,1
Sodium acetate,C2H3NaO2,C,2,H,3,Na,1,O,2
Nitrous acid,HNO2,H,1,N,1,O,2
Sodium phosphate,Na3PO4,Na,3,P,1,O,4
Xenon Difluoride,XeF2,Xe,1,F,2
Hypoiodous acid,HIO,H,1,I,1,O,1
Potassium Permanganate,KMnO4,K,1,Mn,1,O,4
Hexane,C6H14,C,6,H,14
Calcium carbonate,CaCO3,Ca,1,C,1,O,3
Acetonitrile,C2H3N,C,2,H,3,N,1
Bromine,Br,Br,1
Tin (II) chloride,SnCl2,Sn,1,Cl,2
Potassium hydroxide,KOH,K,1,O,1,H,1
Dinitrogen monoxide,N2O,N,2,O,1
Ammonium bromide,NH4Br,N,1,H,4,Br,1
Mannitol,C6H14O6,C,6,H,14,O,6
Sodium chromate,Na2CrO4,Na,2,Cr,1,O,4
Dinitrogen trioxide,N2O3,N,2,O,3
Ammonium acetate,C2H3O2NH4,C,2,H,3,O,2,N,1,H,4
Zinc sulfide,ZnS,Zn,1,S,1
Potassium carbonate,K2CO3,K,2,C,1,O,3
Sodium nitride,Na3N,Na,3,N,1
Zinc iodide,ZnI2,Zn,1,I,2
Barium carbonate,BaCO3,Ba,1,C,1,O,3
Sodium nitrate,NaNO3,Na,1,N,1,O,3
Peroxydisulfuric Acid,H2S2O8,H,2,S,2,O,8
Phosphorus Trichloride,PCl3,P,1,Cl,3
Silver oxide,Ag2O,Ag,2,O,1
Ethane,C2H6,C,2,H,6
Sulfur trioxide,SO3,S,1,O,3
Hydrochloric acid,HCl,H,1,Cl,1
Tin Oxide,SnO2,Sn,1,O,2
Iron iii oxide,Fe2O3,Fe,2,O,3
Oxalic acid,H2C2O4,H,2,C,2,O,4
Silver phosphate,Ag3PO4,Ag,3,P,1,O,4
Zinc sulfate,ZnSO4,Zn,1,S,1,O,4
Nitrogen dioxide,NO2,N,1,O,2
Dinitrogen Pentoxide,N2O5,N,2,O,5
Aluminum fluoride,AlF3,Al,1,F,3
Calcium oxide,CaO,Ca,1,O,1
Magnesium chloride,MgCl2,Mg,1,Cl,2
